target,seed,epoch,z_dim,n_samples,score_p_4th_moment,score_q_4th_moment,score_p_mean_norm,score_q_mean_norm,run_id,duration_sec
x_shaped,50,7000,2,10240,44.4987678527832,40.943206787109375,1.7065376043319702,1.6671255826950073,seed50_dsivi_x_shaped,0.006
x_shaped,50,8000,2,10240,45.7226676940918,42.03907012939453,1.6925064325332642,1.7316826581954956,seed50_dsivi_x_shaped,0.006
x_shaped,50,9000,2,10240,47.69135284423828,45.04726791381836,1.7015949487686157,1.7351993322372437,seed50_dsivi_x_shaped,0.009
x_shaped,50,10000,2,10240,45.63302993774414,40.36312484741211,1.721690058708191,1.601430892944336,seed50_dsivi_x_shaped,0.006
Langevin_post,51,1000,100,10240,8130689536.0,21720264.0,296.41656494140625,67.59767150878906,seed51_dsivi_langevin_post,0.014
Langevin_post,51,2000,100,10240,2839663360.0,64726528.0,227.8310546875,88.86376190185547,seed51_dsivi_langevin_post,0.014
Langevin_post,51,3000,100,10240,1425532416.0,134473456.0,191.73573303222656,106.65925598144531,seed51_dsivi_langevin_post,0.015
Langevin_post,51,4000,100,10240,847143104.0,230246656.0,168.40016174316406,122.0050277709961,seed51_dsivi_langevin_post,0.013
Langevin_post,51,5000,100,10240,586814144.0,347149792.0,153.61073303222656,135.2252197265625,seed51_dsivi_langevin_post,0.012
Langevin_post,51,6000,100,10240,513058304.0,408373984.0,148.62466430664062,140.84030151367188,seed51_dsivi_langevin_post,0.015
Langevin_post,51,7000,100,10240,504667296.0,417694752.0,148.0497283935547,141.63455200195312,seed51_dsivi_langevin_post,0.015
Langevin_post,51,8000,100,10240,497113248.0,418651968.0,147.4860382080078,141.69544982910156,seed51_dsivi_langevin_post,0.012
Langevin_post,51,9000,100,10240,492849376.0,419210752.0,147.16246032714844,141.70030212402344,seed51_dsivi_langevin_post,0.017
Langevin_post,51,10000,100,10240,486052096.0,420597728.0,146.66064453125,141.82485961914062,seed51_dsivi_langevin_post,0.012
x_shaped,51,1000,2,10240,740.9564208984375,1.4403753280639648,3.342200517654419,0.752443790435791,seed51_dsivi_x_shaped,0.006
x_shaped,51,2000,2,10240,225.25003051757812,8.410964012145996,2.534153699874878,1.1096166372299194,seed51_dsivi_x_shaped,0.006
x_shaped,51,3000,2,10240,127.62957000732422,21.747804641723633,2.15842604637146,1.383692979812622,seed51_dsivi_x_shaped,0.006
x_shaped,51,4000,2,10240,69.3577651977539,30.176740646362305,1.9014627933502197,1.5784919261932373,seed51_dsivi_x_shaped,0.006
x_shaped,51,5000,2,10240,42.50666427612305,42.797603607177734,1.6872284412384033,1.7607440948486328,seed51_dsivi_x_shaped,0.008
x_shaped,51,6000,2,10240,50.76237487792969,59.8969612121582,1.7392199039459229,1.7383297681808472,seed51_dsivi_x_shaped,0.006
x_shaped,51,7000,2,10240,41.79298400878906,52.81618118286133,1.6893701553344727,1.7888551950454712,seed51_dsivi_x_shaped,0.006
x_shaped,51,8000,2,10240,46.98777389526367,73.41808319091797,1.6978371143341064,1.9563312530517578,seed51_dsivi_x_shaped,0.006
x_shaped,51,9000,2,10240,51.38714599609375,45.227943420410156,1.7545185089111328,1.707270622253418,seed51_dsivi_x_shaped,0.006
x_shaped,51,10000,2,10240,41.8817024230957,37.812896728515625,1.6887922286987305,1.7277027368545532,seed51_dsivi_x_shaped,0.006
