sampler,chain,draw,epsilon_0,epsilon_1
MALA_tail,11,15,-0.46234640,0.48239812
MALA_tail,11,16,-0.49522468,0.48980656
MALA_tail,11,17,-0.52254140,0.43621665
MALA_tail,11,18,-0.49668339,0.42188713
MALA_tail,11,19,-0.48478872,0.39319372
MALA_tail,11,20,-0.48496595,0.38636109
MALA_tail,11,21,-0.45433775,0.41968915
MALA_tail,11,22,-0.41064054,0.37572122
MALA_tail,11,23,-0.41158438,0.44225234
MALA_tail,11,24,-0.44311735,0.45506814
MALA_tail,11,25,-0.44705558,0.45099565
MALA_tail,11,26,-0.46956265,0.46619087
MALA_tail,11,27,-0.44347852,0.48642424
MALA_tail,11,28,-0.43150088,0.47007021
MALA_tail,11,29,-0.39528978,0.45043221
MALA_tail,11,30,-0.37578684,0.50078666
MALA_tail,11,31,-0.43150368,0.47154662
MALA_tail,11,32,-0.50813872,0.39461288
MALA_tail,11,33,-0.45626482,0.42542529
MALA_tail,11,34,-0.53736824,0.43237242
MALA_tail,11,35,-0.53147167,0.46525410
